# step, acceptance, delta_H
118, 0.210573, 0.663866
118, 0.663866, 0.210573
119, 1.16239, 0.666667
119, 0.666667, 1.16239
120, 2.47573, 0.669421
120, 0.669421, 2.47573
121, 0.336085, 0.663934
121, 0.663934, 0.336085
122, -0.329859, 0.666667
122, 0.666667, -0.329859
123, -0.677218, 0.669355
123, 0.669355, -0.677218
124, -0.174987, 0.672
124, 0.672, -0.174987
125, 1.3804, 0.666667
125, 0.666667, 1.3804
126, -0.247324, 0.669291
126, 0.669291, -0.247324
127, -0.440615, 0.671875
127, 0.671875, -0.440615
128, 1.46554, 0.666667
128, 0.666667, 1.46554
129, 2.66638, 0.661538
129, 0.661538, 2.66638
130, 0.411812, 0.656489
130, 0.656489, 0.411812
131, 1.13687, 0.651515
131, 0.651515, 1.13687
132, -1.4629, 0.654135
132, 0.654135, -1.4629
133, 3.20502, 0.649254
133, 0.649254, 3.20502
134, 1.39959, 0.644444
134, 0.644444, 1.39959
135, 1.67433, 0.647059
135, 0.647059, 1.67433
136, -1.6837, 0.649635
136, 0.649635, -1.6837
137, -0.526348, 0.652174
137, 0.652174, -0.526348
138, 0.334299, 0.654676
138, 0.654676, 0.334299
139, -1.25451, 0.657143
139, 0.657143, -1.25451
140, 1.273, 0.652482
140, 0.652482, 1.273
141, 0.125231, 0.65493
141, 0.65493, 0.125231
142, -0.0716263, 0.657343
142, 0.657343, -0.0716263
143, -0.331146, 0.659722
143, 0.659722, -0.331146
144, -0.855671, 0.662069
144, 0.662069, -0.855671
145, -3.12669, 0.664384
145, 0.664384, -3.12669
146, 0.0767704, 0.666667
146, 0.666667, 0.0767704
147, 2.53737, 0.662162
147, 0.662162, 2.53737
148, -0.123825, 0.66443
148, 0.66443, -0.123825
149, 0.69073, 0.666667
149, 0.666667, 0.69073
150, 0.873348, 0.668874
150, 0.668874, 0.873348
151, 2.32226, 0.664474
151, 0.664474, 2.32226
152, 0.533792, 0.666667
152, 0.666667, 0.533792
153, 1.21163, 0.668831
153, 0.668831, 1.21163
154, -0.24679, 0.670968
154, 0.670968, -0.24679
155, 2.81958, 0.666667
155, 0.666667, 2.81958
156, 1.77816, 0.66242
156, 0.66242, 1.77816
157, -2.24165, 0.664557
157, 0.664557, -2.24165
158, 2.06008, 0.660377
158, 0.660377, 2.06008
159, 2.72985, 0.65625
159, 0.65625, 2.72985
160, -0.490317, 0.658385
160, 0.658385, -0.490317
161, 0.941574, 0.660494
161, 0.660494, 0.941574
162, 0.167381, 0.662577
162, 0.662577, 0.167381
163, 1.33173, 0.658537
163, 0.658537, 1.33173
164, -0.240804, 0.660606
164, 0.660606, -0.240804
165, 0.787562, 0.662651
165, 0.662651, 0.787562
166, 2.29721, 0.658683
166, 0.658683, 2.29721
167, 2.65131, 0.654762
167, 0.654762, 2.65131
168, 0.653209, 0.650888
168, 0.650888, 0.653209
169, 1.44958, 0.647059
169, 0.647059, 1.44958
170, 1.19987, 0.649123
170, 0.649123, 1.19987
171, -1.20732, 0.651163
171, 0.651163, -1.20732
172, 0.437643, 0.653179
172, 0.653179, 0.437643
173, 0.142225, 0.649425
173, 0.649425, 0.142225
174, 1.61988, 0.645714
174, 0.645714, 1.61988
175, 1.53577, 0.647727
175, 0.647727, 1.53577
176, 1.34964, 0.644068
176, 0.644068, 1.34964
177, 1.83063, 0.640449
177, 0.640449, 1.83063
178, 0.962562, 0.636872
178, 0.636872, 0.962562
179, -0.307519, 0.638889
179, 0.638889, -0.307519
