# step, plaquette
5, 0.66981
10, 0.71221
15, 0.71944
20, 0.721733
25, 0.722465
30, 0.720511
35, 0.721386
40, 0.722529
45, 0.722829
50, 0.722644
55, 0.722644
60, 0.722863
65, 0.72209
70, 0.722203
75, 0.723343
80, 0.722257
85, 0.722616
90, 0.72149
95, 0.723139
100, 0.722731
105, 0.722049
110, 0.722882
115, 0.722705
120, 0.722873
125, 0.723575
130, 0.724463
135, 0.724459
140, 0.723387
145, 0.723193
150, 0.722175
155, 0.721273
160, 0.722993
165, 0.723296
170, 0.723296
175, 0.723633
180, 0.724635
185, 0.723644
190, 0.724623
195, 0.724623
200, 0.722941
205, 0.723474
210, 0.723859
215, 0.722783
220, 0.722819
225, 0.724472
230, 0.724472
235, 0.722432
240, 0.722033
245, 0.723725
250, 0.722379
255, 0.723143
260, 0.723056
265, 0.723827
270, 0.724485
275, 0.72435
280, 0.724309
285, 0.723169
290, 0.72179
295, 0.723494
