# step, plaquette
5, 0.592246
10, 0.633869
15, 0.643811
20, 0.648718
25, 0.649689
30, 0.649808
35, 0.648703
40, 0.649081
45, 0.650762
50, 0.648884
55, 0.649343
60, 0.649226
65, 0.652233
70, 0.653789
75, 0.652238
80, 0.65291
85, 0.653578
90, 0.651276
95, 0.652368
100, 0.651996
105, 0.651724
110, 0.652162
115, 0.651608
120, 0.650472
125, 0.65204
130, 0.651546
135, 0.651134
140, 0.650264
145, 0.653021
150, 0.651346
155, 0.650285
160, 0.652245
165, 0.654
170, 0.653009
175, 0.653081
180, 0.652282
185, 0.650502
190, 0.652214
195, 0.651256
200, 0.650719
205, 0.651932
210, 0.6512
215, 0.650572
220, 0.653283
225, 0.652877
230, 0.653133
235, 0.651236
240, 0.649987
245, 0.653003
250, 0.652389
255, 0.652437
260, 0.653308
265, 0.651569
270, 0.651475
275, 0.653014
280, 0.654755
285, 0.654755
290, 0.654263
295, 0.653016
# step, plaquette
5, 0.592246
10, 0.633869
15, 0.643811
20, 0.648718
25, 0.649689
30, 0.649808
35, 0.648703
40, 0.649081
45, 0.650762
50, 0.648884
55, 0.649343
60, 0.649226
65, 0.652233
70, 0.653789
75, 0.652238
80, 0.65291
85, 0.653578
90, 0.651276
95, 0.652368
100, 0.651996
105, 0.651724
110, 0.652162
115, 0.651608
120, 0.650472
125, 0.65204
130, 0.651546
135, 0.651134
140, 0.650264
145, 0.653021
150, 0.651346
155, 0.650285
160, 0.652245
165, 0.654
170, 0.653009
175, 0.653081
180, 0.652282
185, 0.650502
190, 0.652214
195, 0.651256
200, 0.650719
205, 0.651932
210, 0.6512
215, 0.650572
220, 0.653283
225, 0.652877
230, 0.653133
235, 0.651236
240, 0.649987
245, 0.653003
250, 0.652389
255, 0.652437
260, 0.653308
265, 0.651569
270, 0.651475
275, 0.653014
280, 0.654755
285, 0.654755
290, 0.654263
295, 0.653016
